embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
text-embedding-3-small	baseline - q_trap	10	1	0.5	0.75	0.66675	0.5355	0.13125	0.19685	0.94475	0.9425	-0.00225	0.928	0.925	0.562	0.393	0.957	0.957	0.771	0.692
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.5	0.75	0.4965	0.3655	0.131	0.263847	0.942	0.9385	-0.0035	0.932	0.932	0.445	0.308	0.951	0.946	0.539	0.409
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.75	1	0.3655	0.23525	0.13025	0.356361	0.9385	0.93325	-0.00525	0.932	0.925	0.308	0.189	0.946	0.941	0.409	0.273
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.75	0.75	1	0.17875	0.04875	0.13	0.727273	0.9195	0.8685	-0.051	0.892	0.831	0.075	0.03	0.939	0.898	0.267	0.069
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.75	0.3	0.5	0.517	0.391	0.126	0.243714	0.942	0.93925	-0.00275	0.93	0.928	0.451	0.329	0.953	0.948	0.562	0.44
text-embedding-3-small	baseline - q_trap	all	2	0.3	0.5	0.759	0.63475	0.12425	0.163702	0.947	0.94625	-0.00075	0.932	0.933	0.687	0.552	0.956	0.953	0.812	0.694
text-embedding-3-small	baseline - q_trap	20	1	0.3	0.5	0.7535	0.63	0.1235	0.163902	0.9455	0.94325	-0.00225	0.93	0.929	0.672	0.55	0.955	0.952	0.806	0.681
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.5	0.1	0.2	0.63275	0.511	0.12175	0.192414	0.94525	0.9425	-0.00275	0.936	0.932	0.571	0.456	0.953	0.951	0.68	0.554
text-embedding-3-small	baseline - q_trap	20	0.5	0.1	0.2	0.809	0.68775	0.12125	0.149876	0.9465	0.94475	-0.00175	0.932	0.931	0.735	0.614	0.956	0.954	0.86	0.744
text-embedding-3-small	baseline - q_trap	20	0.5	0.2	0.3	0.68775	0.5675	0.12025	0.174846	0.94475	0.9415	-0.00325	0.931	0.926	0.614	0.477	0.954	0.95	0.744	0.641
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	1	0.5	0.75	0.46	0.341	0.119	0.258696	0.94	0.93525	-0.00475	0.93	0.928	0.412	0.287	0.948	0.942	0.498	0.385
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	1	0.75	1	0.4085	0.29175	0.11675	0.285802	0.939	0.933	-0.006	0.924	0.904	0.315	0.136	0.951	0.95	0.513	0.435
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.75	0.3	0.5	0.5365	0.41975	0.11675	0.217614	0.9435	0.9395	-0.004	0.933	0.929	0.458	0.344	0.952	0.951	0.62	0.519
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	1	0.5	0.75	0.46775	0.35175	0.116	0.247996	0.94125	0.938	-0.00325	0.93	0.926	0.405	0.292	0.95	0.946	0.516	0.403
text-embedding-3-small	baseline - q_trap	all	1	0.1	0.2	0.81375	0.70025	0.1135	0.139478	0.947	0.94525	-0.00175	0.932	0.931	0.74	0.617	0.958	0.953	0.862	0.756
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1.5	0.75	1	0.1855	0.072	0.1135	0.61186	0.92825	0.903	-0.02525	0.913	0.882	0.144	0.056	0.938	0.915	0.221	0.087
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	2	0.3	0.5	0.57475	0.46125	0.1135	0.197477	0.942	0.941	-0.001	0.929	0.929	0.506	0.403	0.951	0.951	0.625	0.505
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.2	0.3	0.51775	0.4045	0.11325	0.218735	0.94175	0.9405	-0.00125	0.93	0.928	0.453	0.344	0.949	0.95	0.564	0.449
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.1	0.2	0.6295	0.51775	0.11175	0.177522	0.94525	0.94175	-0.0035	0.93	0.93	0.563	0.453	0.955	0.949	0.674	0.564
text-embedding-3-small	baseline - q_trap	20	1.5	0.75	1	0.63	0.5185	0.1115	0.176984	0.94325	0.93925	-0.004	0.929	0.926	0.55	0.422	0.952	0.947	0.681	0.596
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	1	0.3	0.5	0.5705	0.46	0.1105	0.19369	0.9435	0.94	-0.0035	0.934	0.93	0.51	0.412	0.951	0.948	0.619	0.498
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	1	0.75	1	0.391	0.281	0.11	0.28133	0.93875	0.92925	-0.0095	0.929	0.903	0.314	0.125	0.949	0.947	0.488	0.42
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.25	0.3	0.5	0.18275	0.0735	0.10925	0.597811	0.91425	0.83525	-0.079	0.862	0.737	0.048	0.026	0.949	0.925	0.384	0.169
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.5	0.1	0.2	0.6455	0.5365	0.109	0.168861	0.94625	0.9435	-0.00275	0.937	0.933	0.576	0.458	0.954	0.952	0.707	0.62
text-embedding-3-small	baseline - q_trap	all	0.5	0.3	0.5	0.144	0.03525	0.10875	0.755208	0.92225	0.801	-0.12125	0.914	0.773	0.109	0.029	0.93	0.82	0.175	0.039
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.5	0.1	0.2	0.62575	0.517	0.10875	0.173791	0.945	0.942	-0.003	0.93	0.93	0.556	0.451	0.956	0.953	0.673	0.562
text-embedding-3-small	baseline - q_trap	10	1	0.3	0.5	0.7735	0.66675	0.10675	0.138009	0.94675	0.94475	-0.002	0.93	0.928	0.687	0.562	0.958	0.957	0.844	0.771
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.5	0.3	0.5	0.138	0.03125	0.10675	0.773551	0.9235	0.8115	-0.112	0.911	0.789	0.104	0.028	0.934	0.828	0.166	0.034
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1	0.2	0.3	0.55225	0.4455	0.10675	0.1933	0.94225	0.9415	-0.00075	0.932	0.933	0.491	0.394	0.951	0.951	0.596	0.488
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	10	0.75	0.3	0.5	0.542	0.436	0.106	0.195572	0.94275	0.93975	-0.003	0.928	0.926	0.458	0.346	0.955	0.951	0.621	0.531
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	1	0.3	0.5	0.5735	0.46775	0.10575	0.184394	0.9435	0.94125	-0.00225	0.929	0.93	0.507	0.405	0.954	0.95	0.621	0.516
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	2	0.3	0.5	0.60075	0.4965	0.10425	0.173533	0.9445	0.942	-0.0025	0.936	0.932	0.535	0.445	0.951	0.951	0.644	0.539
text-embedding-3-small	baseline - q_trap	10	0.5	0.2	0.3	0.7215	0.619	0.1025	0.142065	0.94575	0.94475	-0.001	0.931	0.928	0.622	0.5	0.958	0.957	0.815	0.74
text-embedding-3-small	baseline - q_trap	20	1.5	0.5	0.75	0.7325	0.63	0.1025	0.139932	0.94475	0.94325	-0.0015	0.93	0.929	0.651	0.55	0.954	0.952	0.79	0.681
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.25	0.3	0.5	0.1705	0.069	0.1015	0.595308	0.907	0.84075	-0.06625	0.863	0.752	0.053	0.027	0.941	0.922	0.346	0.142
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	1	0.5	0.75	0.49225	0.391	0.10125	0.205688	0.943	0.93875	-0.00425	0.931	0.929	0.414	0.314	0.953	0.949	0.579	0.488
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1	0.1	0.2	0.65325	0.55225	0.101	0.154612	0.9455	0.94225	-0.00325	0.936	0.932	0.592	0.491	0.953	0.951	0.699	0.596
text-embedding-3-small	q_target - q_trap	10	0.25	0.1	0.2	0.24775	0.15175	0.096	0.387487	0.936	0.924	-0.012	0.919	0.894	0.133	0.067	0.949	0.946	0.422	0.282
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.25	0.1	0.2	0.22675	0.135	0.09175	0.404631	0.93575	0.928	-0.00775	0.922	0.909	0.144	0.072	0.947	0.945	0.351	0.238
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.5	0.3	0.5	0.11325	0.026	0.08725	0.770419	0.9135	0.76925	-0.14425	0.896	0.74	0.088	0.02	0.922	0.791	0.139	0.03
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.5	0.1	0.2	0.1915	0.10525	0.08625	0.450392	0.93325	0.92575	-0.0075	0.923	0.914	0.157	0.087	0.943	0.936	0.219	0.124
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.25	0.1	0.2	0.16675	0.082	0.08475	0.508246	0.93375	0.91925	-0.0145	0.922	0.899	0.129	0.061	0.943	0.938	0.194	0.104
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	10	0.25	0.1	0.2	0.21475	0.135	0.07975	0.371362	0.93625	0.9245	-0.01175	0.921	0.898	0.124	0.067	0.949	0.945	0.351	0.242
text-embedding-3-small	q_target - q_trap	all	0.5	0.1	0.2	0.18475	0.10525	0.0795	0.430311	0.9255	0.91325	-0.01225	0.913	0.9	0.145	0.086	0.932	0.92	0.212	0.118
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.5	0.1	0.2	0.24475	0.16675	0.078	0.318693	0.93825	0.93375	-0.0045	0.926	0.922	0.186	0.129	0.948	0.943	0.296	0.194
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.75	0.1	0.2	0.23425	0.15625	0.078	0.332978	0.934	0.93175	-0.00225	0.924	0.92	0.187	0.13	0.943	0.941	0.273	0.179
text-embedding-3-small	q_target - q_trap	20	0.25	0.1	0.2	0.161	0.08375	0.07725	0.479814	0.9265	0.90575	-0.02075	0.914	0.882	0.125	0.062	0.935	0.921	0.197	0.102
text-embedding-3-small	q_target - q_trap	20	0.5	0.1	0.2	0.2375	0.161	0.0765	0.322105	0.932	0.9265	-0.0055	0.918	0.914	0.181	0.125	0.944	0.935	0.293	0.197
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	all	0.5	0.1	0.2	0.16075	0.0885	0.07225	0.449456	0.9305	0.918	-0.0125	0.919	0.902	0.129	0.074	0.937	0.927	0.183	0.103
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	20	0.25	0.1	0.2	0.151	0.07925	0.07175	0.475166	0.933	0.91525	-0.01775	0.921	0.89	0.113	0.056	0.943	0.93	0.182	0.097
text-embedding-3-small	baseline - q_trap	all	0.75	0.5	0.75	0.1065	0.03525	0.07125	0.669014	0.913	0.801	-0.112	0.898	0.773	0.082	0.029	0.923	0.82	0.123	0.039
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.25	0.1	0.2	0.10525	0.034	0.07125	0.67696	0.92575	0.84425	-0.0815	0.914	0.812	0.087	0.031	0.936	0.864	0.124	0.036
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.75	0.3	0.5	0.22675	0.156	0.07075	0.312018	0.93575	0.93225	-0.0035	0.922	0.914	0.144	0.082	0.947	0.948	0.351	0.266
text-embedding-3-small	q_target - q_trap	all	0.25	0.1	0.2	0.10525	0.035	0.07025	0.667458	0.91325	0.81275	-0.1005	0.9	0.782	0.086	0.029	0.92	0.832	0.118	0.039
text-embedding-3-small	q_target - q_trap	all	0.75	0.1	0.2	0.22025	0.15	0.07025	0.318956	0.928	0.9245	-0.0035	0.916	0.912	0.175	0.121	0.935	0.931	0.251	0.174
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.5	0.3	0.5	0.173	0.1055	0.0675	0.390173	0.9335	0.91725	-0.01625	0.917	0.884	0.096	0.045	0.948	0.943	0.287	0.203
text-embedding-3-small	q_target - q_trap	10	0.5	0.3	0.5	0.1895	0.12375	0.06575	0.346966	0.93	0.9105	-0.0195	0.906	0.867	0.093	0.049	0.947	0.941	0.343	0.24
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	all	0.75	0.1	0.2	0.1915	0.127	0.0645	0.336815	0.932	0.927	-0.005	0.919	0.912	0.153	0.105	0.94	0.934	0.22	0.143
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.5	0.3	0.5	0.11825	0.05375	0.0645	0.545455	0.9295	0.89625	-0.03325	0.914	0.86	0.082	0.033	0.943	0.923	0.147	0.075
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	1	0.3	0.5	0.142	0.078	0.064	0.450704	0.931	0.9145	-0.0165	0.919	0.9	0.12	0.066	0.94	0.924	0.161	0.084
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.75	0.5	0.75	0.09425	0.03125	0.063	0.668435	0.9165	0.8115	-0.105	0.907	0.789	0.07	0.028	0.927	0.828	0.115	0.034
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	10	0.5	0.3	0.5	0.16575	0.104	0.06175	0.372549	0.9305	0.911	-0.0195	0.912	0.863	0.091	0.041	0.946	0.944	0.282	0.196
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	1.5	0.3	0.5	0.1915	0.13025	0.06125	0.319843	0.93325	0.92925	-0.004	0.923	0.916	0.157	0.104	0.943	0.94	0.219	0.148
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.75	0.3	0.5	0.16675	0.106	0.06075	0.364318	0.93375	0.9275	-0.00625	0.922	0.912	0.129	0.079	0.943	0.941	0.194	0.134
text-embedding-3-small	q_target - q_trap	all	1	0.3	0.5	0.13725	0.07725	0.06	0.437158	0.9215	0.90125	-0.02025	0.908	0.884	0.112	0.065	0.931	0.914	0.158	0.086
text-embedding-3-small	q_target - q_trap	all	1.5	0.3	0.5	0.18475	0.1255	0.05925	0.320704	0.9255	0.91725	-0.00825	0.913	0.904	0.145	0.103	0.932	0.925	0.212	0.146
text-embedding-3-small	q_target - q_trap	20	0.75	0.3	0.5	0.161	0.10225	0.05875	0.364907	0.9265	0.91375	-0.01275	0.914	0.897	0.125	0.073	0.935	0.928	0.197	0.128
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	all	0.25	0.1	0.2	0.0885	0.0305	0.058	0.655367	0.918	0.80925	-0.10875	0.902	0.777	0.074	0.028	0.927	0.831	0.103	0.033
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.75	0.3	0.5	0.10525	0.049	0.05625	0.534442	0.92575	0.8915	-0.03425	0.914	0.869	0.087	0.043	0.936	0.909	0.124	0.057
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	20	1	0.3	0.5	0.18225	0.12675	0.0555	0.304527	0.934	0.93	-0.004	0.921	0.916	0.14	0.093	0.943	0.938	0.22	0.156
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	20	0.5	0.3	0.5	0.107	0.052	0.055	0.514019	0.92425	0.8935	-0.03075	0.908	0.847	0.082	0.03	0.935	0.921	0.128	0.068
text-embedding-3-small	q_target - q_trap	20	0.5	0.3	0.5	0.11625	0.0615	0.05475	0.470968	0.91825	0.8865	-0.03175	0.903	0.85	0.084	0.039	0.93	0.91	0.143	0.084
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	all	1.5	0.3	0.5	0.16075	0.106	0.05475	0.340591	0.9305	0.92175	-0.00875	0.919	0.905	0.129	0.09	0.937	0.93	0.183	0.119
text-embedding-3-small	q_target - q_trap	10	0.25	0.2	0.3	0.15175	0.0975	0.05425	0.357496	0.924	0.8975	-0.0265	0.894	0.846	0.067	0.038	0.946	0.938	0.282	0.198
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.25	0.2	0.3	0.135	0.0815	0.0535	0.396296	0.928	0.89375	-0.03425	0.909	0.832	0.072	0.031	0.945	0.94	0.238	0.174
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	10	0.25	0.2	0.3	0.135	0.08175	0.05325	0.394444	0.9245	0.89475	-0.02975	0.898	0.828	0.067	0.032	0.945	0.942	0.242	0.169
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	20	0.75	0.3	0.5	0.151	0.09875	0.05225	0.346026	0.933	0.922	-0.011	0.921	0.905	0.113	0.074	0.943	0.933	0.182	0.117
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	0.75	0.5	0.75	0.106	0.05375	0.05225	0.492925	0.9275	0.89625	-0.03125	0.912	0.86	0.079	0.033	0.941	0.923	0.134	0.075
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	1.5	0.5	0.75	0.13025	0.078	0.05225	0.401152	0.92925	0.9145	-0.01475	0.916	0.9	0.104	0.066	0.94	0.924	0.148	0.084
text-embedding-3-small	q_target - q_trap	all	0.75	0.3	0.5	0.10525	0.05375	0.0515	0.489311	0.91325	0.861	-0.05225	0.9	0.838	0.086	0.047	0.92	0.876	0.118	0.06
Qwen/Qwen3-Embedding-4B	q_target - q_trap	20	1	0.5	0.75	0.1425	0.09125	0.05125	0.359649	0.93225	0.9225	-0.00975	0.917	0.906	0.108	0.069	0.945	0.938	0.172	0.116
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	0.75	0.2	0.3	0.15625	0.10525	0.051	0.3264	0.93175	0.92575	-0.006	0.92	0.914	0.13	0.087	0.941	0.936	0.179	0.124
Qwen/Qwen3-Embedding-4B	q_target - q_trap	all	2	0.5	0.75	0.165	0.114	0.051	0.309091	0.93225	0.92825	-0.004	0.92	0.918	0.136	0.092	0.941	0.937	0.193	0.133
Qwen/Qwen3-Embedding-0.6B	q_target - q_trap	10	0.75	0.5	0.75	0.15475	0.104	0.05075	0.327948	0.929	0.911	-0.018	0.908	0.863	0.084	0.041	0.945	0.944	0.266	0.196
Qwen/Qwen3-Embedding-4B	q_target - q_trap	10	0.75	0.5	0.75	0.156	0.1055	0.0505	0.323718	0.93225	0.91725	-0.015	0.914	0.884	0.082	0.045	0.948	0.943	0.266	0.203
