model,id,query,Q_target,Q_trap,baseline_rank,final_rank,final_trap_rank
qwen3-embedding-4b,excluir_31,"What is aTelecine's role in the entertainment industry, excluding any information about Sasha Grey's career?",aTelecine's role in the entertainment industry,information about Sasha Grey's career,1,25,90406
qwen3-embedding-4b,excluir_3353,"Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?",brands of canned food shipped to England during World War II,canned cooked meat brand Spam,2,209,14579
qwen3-embedding-4b,excluir_1484,"In addition to posing the mathematical conjecture not centered on prime numbers, Mary Lejeune has proposed what other mathematical concepts?",mathematical concepts proposed by Mary Lejeune,mathematical conjecture centered on prime numbers,5,19,65981
qwen3-embedding-4b,excluir_1281,"Except Eric Lindros, what other members does The Legion of Doom include?",members of The Legion of Doom,Eric Lindros as a member of The Legion of Doom,1,9,90405
qwen3-embedding-4b,excluir_445,"Besides the third-century queen of the Syria-based Palmyrene Empire Septimia Zenobia, who else had great influence on the general Zabdas' life?",influential figures in the life of Zabdas,influential figures related to Septimia Zenobia,1,8,79384
qwen3-embedding-4b,excluir_798,"What is the name of the book about Bill Clinton written by someone other than British and American writer, columnist, essayist, orator, religious and literary critic, social critic, and journalist Christopher Hitchens?",book about Bill Clinton,book about Bill Clinton written by Christopher Hitchens,1,6,52876
qwen3-embedding-4b,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,2,8,2
qwen3-embedding-4b,excluir_1421,"Could you name another famous American football player who has played for the Los Angeles Rams in the NFL, other than Eric Dickerson?",famous American football player who has played for the Los Angeles Rams in the NFL,Eric Dickerson,5,454,7217
qwen3-embedding-4b,excluir_1618,Can you tell me what role John L. Hudson had at a different location than Wright-Patterson Air Force Base?,role of John L. Hudson at a different location,role of John L. Hudson at Wright-Patterson Air Force Base,1,9,90406
qwen3-embedding-4b,excluir_2648,"Except for ""Reasonbale Doubt"",which album has been used  in musical film ""Sterrts Is Watching""?",albums used in the musical film 'Sterrts Is Watching',album 'Reasonable Doubt',1,30,90406
qwen3-embedding-4b,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,1,57577,1
qwen3-embedding-4b,excluir_1120,"What are William Wigan's main achievements, excluding any part about Frederick the Great?",William Wigan's main achievements,William Wigan's achievements related to Frederick the Great,1,1144,90404
qwen3-embedding-4b,excluir_1136,Can you tell me Ron Asulin's main job without involving his work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center?,Ron Asulin's main job,Ron Asulin's work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center,1,12,90375
qwen3-embedding-4b,excluir_578,"What is Kevin Fitzgerald most famous for, aside from his appearance on Animal Planet?",Kevin Fitzgerald's most famous achievements,Kevin Fitzgerald's appearance on Animal Planet,1,8,90406
qwen3-embedding-4b,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,2,30,1
qwen3-embedding-4b,excluir_3405,"In addition to the suspense novels represented by Night Chills, what other elements have been incorporated into the work of American author Night Chills?",elements incorporated into the work of American author Night Chills,suspense novels represented by Night Chills,3,1507,22
qwen3-embedding-4b,excluir_148,"Can you tell me a film directed by Sanjay Leela Bhansali for which he also composed the soundtrack, without mentioning anything about Bajirao Mastani?",film directed by Sanjay Leela Bhansali for which he also composed the soundtrack,film directed by Sanjay Leela Bhansali that is Bajirao Mastani,1,10,2148
qwen3-embedding-4b,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',2,90404,1
qwen3-embedding-4b,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,players who have played for Tottenham Hotspur aside from Danny Blanchflower,2,606,3462
qwen3-embedding-4b,excluir_1047,"Please tell me the main life experiences of Martha Garth Williams, excluding the part about Robin Williams?",main life experiences of Martha Garth Williams,main life experiences of Martha Garth Williams related to Robin Williams,1,212,74680
qwen3-embedding-4b,excluir_1564,"Apart from Betty Grable, who are the other cast members in ""Probation""?",cast members in 'Probation',cast members in 'Probation' excluding Betty Grable,1,151,90402
qwen3-embedding-4b,excluir_2531,"Without mentioning Troy Denning, can you tell me a little bit about the siege?",information about the siege,information about the siege mentioning Troy Denning,2,90406,12
qwen3-embedding-4b,excluir_3072,"Besides Phil Ivey, who else has made significant achievements and contributions to Ivey League, a poker training website founded by American professional poker player Phil Ivey?",significant achievements and contributions to Ivey League,achievements and contributions by Phil Ivey to Ivey League,1,7,24479
qwen3-embedding-4b,excluir_1210,"Apart from Waking Ned, which other movie is based on the short story ""Dou"" by Jan Luka Karagiale ă  Adapted from ""Loturi""?",movies based on the short story 'Dou' by Jan Luka Karagiale adapted from 'Loturi',movies based on the short story 'Dou' by Jan Luka Karagiale adapted from 'Loturi' that are not Waking Ned,1,7,57938
qwen3-embedding-4b,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options offered by Ivy League for different skill levels,membership options related to Phil Ivey's involvement,1,105,74586
qwen3-embedding-4b,excluir_1515,"Other than Jaidon Codrington, who else advanced to the final round of the third season of the ""Contender"" reality series in 2007?",contestants who advanced to the final round of the third season of the 'Contender' reality series in 2007,Jaidon Codrington,3,62,51
qwen3-embedding-4b,excluir_1525,"Other than Liu Yifei, who else stars in ""For Love or Money""?",stars in 'For Love or Money',Liu Yifei stars in 'For Love or Money',1,86,90390
qwen3-embedding-4b,excluir_1267,What other professions does Arthur Campbell have apart from working at Darjeeling?,professions of Arthur Campbell,professions of Arthur Campbell working at Darjeeling,1,37,90406
qwen3-embedding-4b,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,1,3023,1
qwen3-embedding-4b,excluir_2977,"What is the historical connection between creosote production and a location, other than Bainbridge Island, Washington?",historical connection between creosote production and a location,"historical connection between creosote production and Bainbridge Island, Washington",2,62,1
qwen3-embedding-4b,excluir_2618,"Can you tell me the name of the famous film that starred Jane Fonda, Michael Sarrazin, and Gig Young, and was directed by Sydney Pollack, without mentioning Jim Aton or his work in the film ""They Shoot Horses, Don't They?""","famous film that starred Jane Fonda, Michael Sarrazin, and Gig Young, directed by Sydney Pollack","film that mentions Jim Aton or his work in 'They Shoot Horses, Don't They?'",1,139,90265
qwen3-embedding-4b,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,1,14,1
qwen3-embedding-4b,excluir_2073,"Who did Richard Harris play in the film ""The Heroes of Telemark""? But don't mention Kirk Douglas",Richard Harris character in the film 'The Heroes of Telemark',Kirk Douglas in the film 'The Heroes of Telemark',1,11,89003
qwen3-embedding-4b,excluir_3208,"What military conflicts did William Wallace engage in unrelated to the Republic of Texas, which existed from March 2, 1836 to February 19, 1846?",military conflicts William Wallace engaged in,military conflicts related to the Republic of Texas,1,39,90404
qwen3-embedding-4b,excluir_1381,"Apart from the 1941 Brooklyn Dodgers season, which other team ranks in the top three in the national league?",teams that rank in the top three in the national league,1941 Brooklyn Dodgers season,3,45614,90374
qwen3-embedding-4b,excluir_1543,Can you tell me the location and size of Delphi Community High School without including any information about Delphi Community School Corporation?,location and size of Delphi Community High School,information about Delphi Community School Corporation,2,16,1
qwen3-embedding-4b,excluir_1841,"What are some significant historic events that occurred in Saratoga County, New York, but without including any information about the village of Victory?","significant historic events in Saratoga County, New York",historic events in the village of Victory,1,8,573
qwen3-embedding-4b,excluir_565,"With the exception of the participation of ""Futurology"", the second single of Manic Street Preachers from their twelfth studio album, what other albums was the Super Furry Animals member Cian Ciaran related to?",albums related to Cian Ciaran,albums related to Cian Ciaran that include the participation of 'Futurology',2,6567,87988
qwen3-embedding-4b,excluir_3339,"Apart from Mount Whittier, what are other mount in the Ossipee Mountains, New Hampshire, USA?","other mountains in the Ossipee Mountains, New Hampshire, USA",Mount Whittier,1,1343,1
qwen3-embedding-4b,excluir_2092,What position did Gary Kovacs hold at a company apart from AVG Technologies?,position held by Gary Kovacs at a company,position held by Gary Kovacs at AVG Technologies,2,90273,1
qwen3-embedding-4b,excluir_2630,Can you tell me which other films Gary Rydstrom and Irene Mecchi worked on aside from Strange Magic?,films Gary Rydstrom and Irene Mecchi worked on,films Gary Rydstrom and Irene Mecchi worked on aside from Strange Magic,1,11485,18792
qwen3-embedding-4b,excluir_1204,What other plays has Frank Finley played besides Othello?,plays by Frank Finley,plays by Frank Finley that are Othello,1,513,90114
qwen3-embedding-4b,excluir_1490,"Apart from Cheick Tioté, which other stars have joined FC Bibo?",stars that have joined FC Bibo,Cheick Tioté joining FC Bibo,1,16,90395
qwen3-embedding-4b,excluir_1972,Can you tell me about the connection between MGM Resorts International and another company that is different from MGM Growth Properties?,connection between MGM Resorts International and another company,connection between MGM Resorts International and MGM Growth Properties,1,747,1
qwen3-embedding-4b,excluir_429,"What other person have a impact on the history of Rhodesia from 1965 to 1979, on top of the politician, farmer, and fighter pilot Ian Smith.",people who impacted the history of Rhodesia from 1965 to 1979,Ian Smith,1,12,1
qwen3-embedding-4b,excluir_1551,What are the contributions made by researchers other than Glenn T. Seaborg to the fields of nuclear chemistry and the development of the periodic table of elements?,contributions made by researchers to the fields of nuclear chemistry and the development of the periodic table of elements,contributions made by Glenn T. Seaborg to the fields of nuclear chemistry and the development of the periodic table of elements,2,48,633
qwen3-embedding-4b,excluir_677,"Regardless of the identity of its founder, Peter Daou, what else is known about Verrit?",what is known about Verrit,"information about Verrit related to its founder, Peter Daou",4,1788,44013
qwen3-embedding-4b,excluir_430,"With the exception of the American football player and college athletics administrator Lee Roy Selmon, what other members were in the defensive line which the former football linebacker help to form?",members in the defensive line formed by the former football linebacker,members in the defensive line including Lee Roy Selmon,2,73,25928
qwen3-embedding-4b,excluir_2288,"Can you give me some details about the background and career of the Swedish mafia, but not any detailed information about the members of the organization?",details about the background and career of the Swedish mafia,detailed information about the members of the Swedish mafia,1,7,97
qwen3-embedding-4b,excluir_2915,"How many ICC Umpire of the Year awards did Simon Taufel win, and which other umpires have received the award, excluding Aleem Dar?",ICC Umpire of the Year awards won by Simon Taufel and other umpires who received the award,ICC Umpire of the Year awards received by Aleem Dar,2,40,12358
qwen3-embedding-0.6b,excluir_3353,"Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?",brands of canned food shipped to England during World War II,canned cooked meat brand Spam,2,2949,2041
qwen3-embedding-0.6b,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,2,5435,1
qwen3-embedding-0.6b,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,4,84685,1
qwen3-embedding-0.6b,excluir_798,"What is the name of the book about Bill Clinton written by someone other than British and American writer, columnist, essayist, orator, religious and literary critic, social critic, and journalist Christopher Hitchens?",book about Bill Clinton,book about Bill Clinton written by Christopher Hitchens,2,6,40275
qwen3-embedding-0.6b,excluir_2991,"Please introduce an actor who has played the role of a Scottish athlete but has never done so before, such as Ian Charleson",actor who has played the role of a Scottish athlete,actor who has played the role of a Scottish athlete before,1,14,326
qwen3-embedding-0.6b,excluir_598,"Besides starring in the TV series Fight for My Way, what else is related to Song Ha-yoon?",related information about Song Ha-yoon,information related to Song Ha-yoon in the TV series Fight for My Way,1,11,35005
qwen3-embedding-0.6b,excluir_1339,Who else has played Avalanche besides David Hasselhoff?,people who have played Avalanche,David Hasselhoff playing Avalanche,1,13,87205
qwen3-embedding-0.6b,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,4,126,2
qwen3-embedding-0.6b,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,2,11,1
qwen3-embedding-0.6b,excluir_1618,Can you tell me what role John L. Hudson had at a different location than Wright-Patterson Air Force Base?,role of John L. Hudson at a different location,role of John L. Hudson at Wright-Patterson Air Force Base,1,9,90401
qwen3-embedding-0.6b,excluir_2648,"Except for ""Reasonbale Doubt"",which album has been used  in musical film ""Sterrts Is Watching""?",albums used in the musical film 'Sterrts Is Watching',album 'Reasonable Doubt',1,13,87315
qwen3-embedding-0.6b,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,2,1772,1
qwen3-embedding-0.6b,excluir_1120,"What are William Wigan's main achievements, excluding any part about Frederick the Great?",William Wigan's main achievements,William Wigan's achievements related to Frederick the Great,1,335,89006
qwen3-embedding-0.6b,excluir_1136,Can you tell me Ron Asulin's main job without involving his work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center?,Ron Asulin's main job,Ron Asulin's work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center,1,6,89617
qwen3-embedding-0.6b,excluir_2464,"Aside from Thank God I'm a Country Boy, what other songs are on the album ""Real Men""?",songs on the album 'Real Men',Thank God I'm a Country Boy,4,1936,76469
qwen3-embedding-0.6b,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,2,12,1
qwen3-embedding-0.6b,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',2,90165,1
qwen3-embedding-0.6b,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,players who have played for Tottenham Hotspur aside from Danny Blanchflower,2,21,145
qwen3-embedding-0.6b,excluir_1047,"Please tell me the main life experiences of Martha Garth Williams, excluding the part about Robin Williams?",main life experiences of Martha Garth Williams,main life experiences of Martha Garth Williams related to Robin Williams,1,6,8801
qwen3-embedding-0.6b,excluir_2531,"Without mentioning Troy Denning, can you tell me a little bit about the siege?",information about the siege,information about the siege mentioning Troy Denning,2,90406,28
qwen3-embedding-0.6b,excluir_1210,"Apart from Waking Ned, which other movie is based on the short story ""Dou"" by Jan Luka Karagiale ă  Adapted from ""Loturi""?",movies based on the short story 'Dou' by Jan Luka Karagiale adapted from 'Loturi',movies based on the short story 'Dou' by Jan Luka Karagiale adapted from 'Loturi' that are not Waking Ned,1,9,65946
qwen3-embedding-0.6b,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options offered by Ivy League for different skill levels,membership options related to Phil Ivey's involvement,1,7,13593
qwen3-embedding-0.6b,excluir_1267,What other professions does Arthur Campbell have apart from working at Darjeeling?,professions of Arthur Campbell,professions of Arthur Campbell working at Darjeeling,1,7,90182
qwen3-embedding-0.6b,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,1,4623,1
qwen3-embedding-0.6b,excluir_123,"How was the Oakland Raiders' season in 2013, without taking into account Terrelle Pryor's performance?",Oakland Raiders' season in 2013,Oakland Raiders' season in 2013 considering Terrelle Pryor's performance,1,8,55130
qwen3-embedding-0.6b,excluir_2618,"Can you tell me the name of the famous film that starred Jane Fonda, Michael Sarrazin, and Gig Young, and was directed by Sydney Pollack, without mentioning Jim Aton or his work in the film ""They Shoot Horses, Don't They?""","famous film that starred Jane Fonda, Michael Sarrazin, and Gig Young, directed by Sydney Pollack","film that mentions Jim Aton or his work in 'They Shoot Horses, Don't They?'",1,892,78324
qwen3-embedding-0.6b,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,1,57,1
qwen3-embedding-0.6b,excluir_927,"Can you recommend a book that presents arguments against the scientific theory of evolution and supports the concept of intelligent design, but doesn't include any information about Dean H. Kenyon's role in its creation?",book that presents arguments against the scientific theory of evolution and supports the concept of intelligent design,book that includes information about Dean H. Kenyon's role in its creation,5,368,6
qwen3-embedding-0.6b,excluir_3208,"What military conflicts did William Wallace engage in unrelated to the Republic of Texas, which existed from March 2, 1836 to February 19, 1846?",military conflicts William Wallace engaged in,military conflicts related to the Republic of Texas,1,16,90373
qwen3-embedding-0.6b,excluir_2173,"Who was responsible for the series of bombings, beheadings, and attacks during the Iraq War that reportedly escalated the insurgency against US troops into a Shia-Sunni civil war, while excluding any information related to the 2004 car bomb attacks on churches in Baghdad and Mosul?","responsible for the series of bombings, beheadings, and attacks during the Iraq War that escalated the insurgency against US troops into a Shia-Sunni civil war",information related to the 2004 car bomb attacks on churches in Baghdad and Mosul,1,7,696
qwen3-embedding-0.6b,excluir_3008,"Can you tell me about some interesting flavors and varieties of carbonated soft drinks? I'm curious about unique options, but I'm not interested in hearing about Diet Pepsi Jazz.",interesting flavors and varieties of carbonated soft drinks,Diet Pepsi Jazz,2,6,3637
qwen3-embedding-0.6b,excluir_565,"With the exception of the participation of ""Futurology"", the second single of Manic Street Preachers from their twelfth studio album, what other albums was the Super Furry Animals member Cian Ciaran related to?",albums related to Cian Ciaran,albums related to Cian Ciaran that include the participation of 'Futurology',2,14417,62065
qwen3-embedding-0.6b,excluir_2043,"What awards did the movie ""Frozen"" (2013) win and get nominated for? And do not mention the content information of the movie.",awards won and nominations for the movie 'Frozen' (2013),content information of the movie 'Frozen',3,9,15
qwen3-embedding-0.6b,excluir_3339,"Apart from Mount Whittier, what are other mount in the Ossipee Mountains, New Hampshire, USA?","other mountains in the Ossipee Mountains, New Hampshire, USA",Mount Whittier,1,1040,1
qwen3-embedding-0.6b,excluir_2092,What position did Gary Kovacs hold at a company apart from AVG Technologies?,position held by Gary Kovacs at a company,position held by Gary Kovacs at AVG Technologies,2,62984,1
qwen3-embedding-0.6b,excluir_2630,Can you tell me which other films Gary Rydstrom and Irene Mecchi worked on aside from Strange Magic?,films Gary Rydstrom and Irene Mecchi worked on,films Gary Rydstrom and Irene Mecchi worked on aside from Strange Magic,1,2476,41958
qwen3-embedding-0.6b,excluir_1204,What other plays has Frank Finley played besides Othello?,plays by Frank Finley,plays by Frank Finley that are Othello,1,41,73807
qwen3-embedding-0.6b,excluir_1490,"Apart from Cheick Tioté, which other stars have joined FC Bibo?",stars that have joined FC Bibo,Cheick Tioté joining FC Bibo,1,6,90336
qwen3-embedding-0.6b,excluir_1236,Which other plays by William Shakespeare did Richard Bezier appear in besides playing Hamlet?,plays by William Shakespeare featuring Richard Bezier,plays by William Shakespeare featuring Richard Bezier that are not Hamlet,3,8,492
qwen3-embedding-0.6b,excluir_1972,Can you tell me about the connection between MGM Resorts International and another company that is different from MGM Growth Properties?,connection between MGM Resorts International and another company,connection between MGM Resorts International and MGM Growth Properties,1,17,1
qwen3-embedding-0.6b,excluir_429,"What other person have a impact on the history of Rhodesia from 1965 to 1979, on top of the politician, farmer, and fighter pilot Ian Smith.",people who impacted the history of Rhodesia from 1965 to 1979,Ian Smith,1,34,1
qwen3-embedding-0.6b,excluir_1551,What are the contributions made by researchers other than Glenn T. Seaborg to the fields of nuclear chemistry and the development of the periodic table of elements?,contributions made by researchers to the fields of nuclear chemistry and the development of the periodic table of elements,contributions made by Glenn T. Seaborg to the fields of nuclear chemistry and the development of the periodic table of elements,2,47,679
qwen3-embedding-0.6b,excluir_677,"Regardless of the identity of its founder, Peter Daou, what else is known about Verrit?",what is known about Verrit,"information about Verrit related to its founder, Peter Daou",2,83,1715
qwen3-embedding-0.6b,excluir_430,"With the exception of the American football player and college athletics administrator Lee Roy Selmon, what other members were in the defensive line which the former football linebacker help to form?",members in the defensive line formed by the former football linebacker,members in the defensive line including Lee Roy Selmon,1,2370,74026
qwen3-embedding-0.6b,excluir_2288,"Can you give me some details about the background and career of the Swedish mafia, but not any detailed information about the members of the organization?",details about the background and career of the Swedish mafia,detailed information about the members of the Swedish mafia,3,16,74
