model,id,query,Q_target,Q_trap,final_answer_rank,final_trap_rank
qwen3-embedding-4b,excluir_0,"Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?",movies adapted from Broadway musical named Annie,1982 American musical movie Annie,1,2
qwen3-embedding-4b,excluir_730,"What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?",Hal Steinbrenner in the New York Yankees,Hank Steinbrenner in the New York Yankees,1,2
qwen3-embedding-4b,excluir_2449,"Which college in Amherst, Massachusetts is renowned as one of the ""Little Three"" in college football, excluding any details about its founding or original status as a men's college?","college in Amherst, Massachusetts renowned as one of the 'Little Three' in college football",details about its founding or original status as a men's college,1,4
qwen3-embedding-4b,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,68760,1
qwen3-embedding-4b,excluir_1696,"Can you tell me the main differences between Dead Space 2 and Dead Space 3, focusing on the gameplay and features rather than the multiplayer mode or special editions?",main differences between Dead Space 2 and Dead Space 3 focusing on gameplay and features,differences related to the multiplayer mode or special editions,1,2
qwen3-embedding-4b,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,90403,1
qwen3-embedding-4b,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,8,2
qwen3-embedding-4b,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,2,1
qwen3-embedding-4b,excluir_865,"When the MexicAn-American professional middle-distance runner Christian Solatos turned professional, which company besides Adidas sponsored him?",company that sponsored Christian Solatos besides Adidas,company that sponsored Christian Solatos that is Adidas,1,5
qwen3-embedding-4b,excluir_2556,"Why is Gracie Mansion significant in New York City, aside from its association with Archibald Gracie?",significance of Gracie Mansion in New York City,significance of Gracie Mansion related to Archibald Gracie,1,4
qwen3-embedding-4b,excluir_1252,"Other than  History of the telescope, who else made early telescopes?",early telescope makers,History of the telescope,4,1
qwen3-embedding-4b,excluir_2250,"Can you provide information on the main types of albatrosses that can be found in the North Pacific region, but cannot refer to any details about the Leison albatross?",main types of albatrosses in the North Pacific region,details about the Leison albatross,1,4
qwen3-embedding-4b,excluir_2497,"In addition to Fifty-One, which episodes of the AMC series ""Breaking Bad"" did Johnson direct?",episodes of the AMC series 'Breaking Bad' directed by Johnson,episodes of the AMC series 'Breaking Bad' directed by Johnson excluding Fifty-One,1,5
qwen3-embedding-4b,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,57577,1
qwen3-embedding-4b,excluir_528,"Excluding the teams from the 1992 American League Championship , what other Series were part of the 1992 World Series?",Series that were part of the 1992 World Series,teams from the 1992 American League Championship,1,3
qwen3-embedding-4b,excluir_333,"Who was the lead vocalist and principal songwriter for the new wave rock band The Police during the 1970s and 1980s, aside from Sting?",lead vocalist and principal songwriter for the new wave rock band The Police during the 1970s and 1980s,lead vocalist and principal songwriter for The Police during the 1970s and 1980s aside from Sting,843,2
qwen3-embedding-4b,excluir_835,"How are Anthony Dirrell and Andre Dirrell related in the boxing world, focusing only on information about Andre Dirrell?",information about Andre Dirrell in the boxing world,information about Anthony Dirrell in the boxing world,1,2
qwen3-embedding-4b,excluir_1194,Which universities are included in the University of Missouri System?,universities in the University of Missouri System,,41,1
qwen3-embedding-4b,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,30,1
qwen3-embedding-4b,excluir_3252,Can you tell me what distinguishes Scottish Deerhound from J a mthund?,distinguishes Scottish Deerhound from J a mthund,distinguishes Scottish Deerhound from other breeds,2,1
qwen3-embedding-4b,excluir_1633,"What is T. Boone Pickens' perception of The Science of Success by Charles Koch, without considering the book's content or the philosophy of Market Based Management?",T. Boone Pickens' perception of The Science of Success by Charles Koch,T. Boone Pickens' perception of The Science of Success by Charles Koch considering the book's content or the philosophy of Market Based Management,2,1
qwen3-embedding-4b,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',90404,1
qwen3-embedding-4b,excluir_1596,"Could you discuss the connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina, while avoiding mentioning specific criminal behaviors of Henry Louis Wallace?","connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina",specific criminal behaviors of Henry Louis Wallace,1,2
qwen3-embedding-4b,excluir_2929,"What significance does the Danish Act of Succession, adopted in 1953, hold and  don't mention it specifically impact the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin?",significance of the Danish Act of Succession and its impact on the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin,impact of the Danish Act of Succession on the succession to the throne,2,1
qwen3-embedding-4b,excluir_3250,How does Roosevelt Corollary's Doctrine differ from the Drago Doctrine in resolving conflicts between the United States and other nations?,Roosevelt Corollary's Doctrine and Drago Doctrine in resolving conflicts between the United States and other nations,,2,1
qwen3-embedding-4b,excluir_1307,What crime is Jeff Weise guilty of killing his grandfather (a tribal police officer) and his grandfather's girlfriend in Red Lake shootings?,crime Jeff Weise guilty of in Red Lake shootings,crime related to killing his grandfather and his grandfather's girlfriend,1,2
qwen3-embedding-4b,excluir_2128,"Who plays the character Victor Kiriakis in the TV show ""Days of Our Lives"" aside from John Aniston?",Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives',Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives' aside from John Aniston,1,2
qwen3-embedding-4b,excluir_141,"What is the historical significance of the Olympia Brewery in Tumwater, Washington, without discussing any details related to the Olympia Brewing Company?","historical significance of the Olympia Brewery in Tumwater, Washington",details related to the Olympia Brewing Company,1,2
qwen3-embedding-4b,excluir_1190,Which actor performed the comedy version of Bohemian Rhapsody?,actor performed the comedy version of Bohemian Rhapsody,,1,2
qwen3-embedding-4b,excluir_3431,What were Nordic customs related to religion like before Christianization of Scandinavia?,Nordic customs related to religion before Christianization of Scandinavia,,1,2
qwen3-embedding-4b,excluir_3266,"Besides participating in Memphis Championship Wrestling and Jersey All Pro Wrestling with his brother Russ Haas, where else has Charlie Haas made appearances?",Charlie Haas appearances,appearances in Memphis Championship Wrestling and Jersey All Pro Wrestling,1,5
qwen3-embedding-4b,excluir_3017,"What is Ellie's role in the upcoming video game ""The Last of Us Part II"" without considering any information from the first game, ""The Last of Us""?",Ellie's role in the upcoming video game 'The Last of Us Part II',information about Ellie in 'The Last of Us',2,1
qwen3-embedding-4b,excluir_455,"Which television networks aired the Land of the Lost TV series and when did they air, except for the 1991 Land of the Lost TV series?",television networks that aired the Land of the Lost TV series and when they aired,television networks that aired the 1991 Land of the Lost TV series,1,2
qwen3-embedding-4b,excluir_2998,"Can you tell me about the connection between John ""Jack"" Bartholomew and Eric Morecambe, without mentioning Jack Bartholomew?",connection between Eric Morecambe and John 'Jack' Bartholomew,connection that mentions Jack Bartholomew,1,2
qwen3-embedding-4b,excluir_2889,"Why is Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28 significant, without discussing the composer's personal background or career?","significance of Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28",discussions of Sergei Rachmaninoff's personal background or career,56,1
qwen3-embedding-4b,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,3023,1
qwen3-embedding-4b,excluir_199,"Can you tell me about Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879, but without mentioning any actions that led to him being awarded the Medal of Honor?",Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879,actions of Wilhelm O. Philipsen that led to him being awarded the Medal of Honor,14,1
qwen3-embedding-4b,excluir_2977,"What is the historical connection between creosote production and a location, other than Bainbridge Island, Washington?",historical connection between creosote production and a location,"historical connection between creosote production and Bainbridge Island, Washington",62,1
qwen3-embedding-4b,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,14,1
qwen3-embedding-4b,excluir_3038,"When did the Faroese National Movement officially begin, excluding any information related to the movement itself?",When did the Faroese National Movement officially begin,information related to the Faroese National Movement,1,2
qwen3-embedding-4b,excluir_2098,"Who directed the film ""The Lake House"" and who were the main actors in it, without referencing any details about its South Korean motion picture remake?",Who directed the film 'The Lake House' and who were the main actors in it,details about the South Korean motion picture remake of 'The Lake House',200,1
qwen3-embedding-4b,excluir_2501,"What contributions did Bobby Petrino make to the 2003 Louisville Cardinals football team, focusing solely on his role and impact on the team during that season?",contributions of Bobby Petrino to the 2003 Louisville Cardinals football team,Bobby Petrino's contributions to the 2003 Louisville Cardinals football team excluding any other roles or impacts,1,5
qwen3-embedding-4b,excluir_1547,"What is the population of Ahafo Ano South District in Ghana, without considering its representation in the Parliament of Ghana?",population of Ahafo Ano South District in Ghana,population of Ahafo Ano South District in Ghana with representation in the Parliament of Ghana,1,2
qwen3-embedding-4b,excluir_1878,"What is the significance of the episode“Cartman's Mom Is Still a Dirty Slut"" in the TV series ""South Park"" if we foucs on aspects other than ""Cartman's Mom Is a Dirty Slut"" storyline?",significance of the episode 'Cartman's Mom Is Still a Dirty Slut' in South Park focusing on aspects other than the storyline,'Cartman's Mom Is a Dirty Slut' storyline in South Park,1,2
qwen3-embedding-4b,excluir_762,"In addition to information about Turnip cake, what are the typical characteristics and traditional uses of Turnip cake in different Asian cuisines？","information about Turnip cake, typical characteristics and traditional uses in different Asian cuisines",,10,1
qwen3-embedding-4b,excluir_1948,"In Rocky V, can you introduce other information related to Sage Stallone?",information related to Sage Stallone in Rocky V,,1,2
qwen3-embedding-4b,excluir_1541,"Apart from the 1980 film ""Fame,"" can you tell me which other years saw the release of films with the same title?",films titled 'Fame' released in years other than 1980,films titled 'Fame' released in 1980,2,1
qwen3-embedding-4b,excluir_2794,"What was the role of Ranulf de Glanvill in England, without including any information about Hervey de Glanvill?",role of Ranulf de Glanvill in England,information about Hervey de Glanvill,1,2
qwen3-embedding-4b,excluir_966,"Can you explain the historical significance of the Jews' Court in relation to the Jewish community in Medieval Lincoln, while excluding any information related to the Jew's House?",historical significance of the Jews' Court in relation to the Jewish community in Medieval Lincoln,information related to the Jew's House,1,5
qwen3-embedding-4b,excluir_2009,"Can you tell me a film in which Abigail Breslin acted with Alessandro Nivola and Elisabeth Shue, without mentioning her early career or other movie roles?",film in which Abigail Breslin acted with Alessandro Nivola and Elisabeth Shue,film featuring Abigail Breslin's early career or other movie roles,1,3
qwen3-embedding-0.6b,excluir_0,"Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?",movies adapted from Broadway musical named Annie,1982 American musical movie Annie,1,2
qwen3-embedding-0.6b,excluir_730,"What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?",Hal Steinbrenner in the New York Yankees,Hank Steinbrenner in the New York Yankees,1,2
qwen3-embedding-0.6b,excluir_2449,"Which college in Amherst, Massachusetts is renowned as one of the ""Little Three"" in college football, excluding any details about its founding or original status as a men's college?","college in Amherst, Massachusetts renowned as one of the 'Little Three' in college football",details about its founding or original status as a men's college,1,4
qwen3-embedding-0.6b,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,5435,1
qwen3-embedding-0.6b,excluir_1696,"Can you tell me the main differences between Dead Space 2 and Dead Space 3, focusing on the gameplay and features rather than the multiplayer mode or special editions?",main differences between Dead Space 2 and Dead Space 3 focusing on gameplay and features,differences related to the multiplayer mode or special editions,1,2
qwen3-embedding-0.6b,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,84685,1
qwen3-embedding-0.6b,excluir_1102,"Can you explain the Dirac large numbers hypothesis and who proposed it, without mentioning anything about Paul Dirac?",Dirac large numbers hypothesis and its proposer,Dirac large numbers hypothesis proposed by Paul Dirac,1,2
qwen3-embedding-0.6b,excluir_2398,"Can you tell me about the origins and history of the Toyota Avalon, but excluding any information about Toyota concept vehicles from 1990-99?",origins and history of the Toyota Avalon,information about Toyota concept vehicles from 1990-99,1,4
qwen3-embedding-0.6b,excluir_2064,"Who held the position of Dean of Lincoln in 1748, without including any details about Christine Wilson's term as Dean?",Who held the position of Dean of Lincoln in 1748,details about Christine Wilson's term as Dean,3,2
qwen3-embedding-0.6b,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,126,2
qwen3-embedding-0.6b,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,11,1
qwen3-embedding-0.6b,excluir_865,"When the MexicAn-American professional middle-distance runner Christian Solatos turned professional, which company besides Adidas sponsored him?",company that sponsored Christian Solatos besides Adidas,company that sponsored Christian Solatos that is Adidas,1,2
qwen3-embedding-0.6b,excluir_2556,"Why is Gracie Mansion significant in New York City, aside from its association with Archibald Gracie?",significance of Gracie Mansion in New York City,significance of Gracie Mansion related to Archibald Gracie,1,2
qwen3-embedding-0.6b,excluir_1252,"Other than  History of the telescope, who else made early telescopes?",early telescope makers,History of the telescope,1,2
qwen3-embedding-0.6b,excluir_2250,"Can you provide information on the main types of albatrosses that can be found in the North Pacific region, but cannot refer to any details about the Leison albatross?",main types of albatrosses in the North Pacific region,details about the Leison albatross,1,2
qwen3-embedding-0.6b,excluir_30,"Besides the founder of the Parker Ranch John Palmer Parker, who else played a significant role in the establishment of Parker Ranch, which is a working cattle ranch on the Island of Hawaii in the U.S. state of Hawaii?",significant figures in the establishment of Parker Ranch,John Palmer Parker and his role in the establishment of Parker Ranch,1,3
qwen3-embedding-0.6b,excluir_2557,What's so special about the 2018 Pro14 Finals that don't mention anything related to 2017-18 Pro 14?,2018 Pro14 Finals,2017-18 Pro 14,1,3
qwen3-embedding-0.6b,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,1772,1
qwen3-embedding-0.6b,excluir_1166,"Can you tell me a famous work by Jacques Fortrell, but isn't it his detective novel?",famous work by Jacques Fortrell,detective novel by Jacques Fortrell,2018,1
qwen3-embedding-0.6b,excluir_528,"Excluding the teams from the 1992 American League Championship , what other Series were part of the 1992 World Series?",Series that were part of the 1992 World Series,teams from the 1992 American League Championship,1,3
qwen3-embedding-0.6b,excluir_835,"How are Anthony Dirrell and Andre Dirrell related in the boxing world, focusing only on information about Andre Dirrell?",information about Andre Dirrell in the boxing world,information about Anthony Dirrell in the boxing world,1,2
qwen3-embedding-0.6b,excluir_1194,Which universities are included in the University of Missouri System?,universities in the University of Missouri System,,51,2
qwen3-embedding-0.6b,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,12,1
qwen3-embedding-0.6b,excluir_3405,"In addition to the suspense novels represented by Night Chills, what other elements have been incorporated into the work of American author Night Chills?",elements incorporated into the work of American author Night Chills,suspense novels represented by Night Chills,489,1
qwen3-embedding-0.6b,excluir_3252,Can you tell me what distinguishes Scottish Deerhound from J a mthund?,distinguishes Scottish Deerhound from J a mthund,distinguishes Scottish Deerhound from other breeds,2,1
qwen3-embedding-0.6b,excluir_1633,"What is T. Boone Pickens' perception of The Science of Success by Charles Koch, without considering the book's content or the philosophy of Market Based Management?",T. Boone Pickens' perception of The Science of Success by Charles Koch,T. Boone Pickens' perception of The Science of Success by Charles Koch considering the book's content or the philosophy of Market Based Management,2,1
qwen3-embedding-0.6b,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',90165,1
qwen3-embedding-0.6b,excluir_1596,"Could you discuss the connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina, while avoiding mentioning specific criminal behaviors of Henry Louis Wallace?","connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina",specific criminal behaviors of Henry Louis Wallace,2,1
qwen3-embedding-0.6b,excluir_2929,"What significance does the Danish Act of Succession, adopted in 1953, hold and  don't mention it specifically impact the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin?",significance of the Danish Act of Succession and its impact on the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin,impact of the Danish Act of Succession on the succession to the throne,2,1
qwen3-embedding-0.6b,excluir_3250,How does Roosevelt Corollary's Doctrine differ from the Drago Doctrine in resolving conflicts between the United States and other nations?,Roosevelt Corollary's Doctrine and Drago Doctrine in resolving conflicts between the United States and other nations,,2,1
qwen3-embedding-0.6b,excluir_1307,What crime is Jeff Weise guilty of killing his grandfather (a tribal police officer) and his grandfather's girlfriend in Red Lake shootings?,crime Jeff Weise guilty of in Red Lake shootings,crime related to killing his grandfather and his grandfather's girlfriend,1,2
qwen3-embedding-0.6b,excluir_155,"Aside from Paul David Hewson, OL (born 10 May 1960), known by his stage name Bono, who else contributed to the album ""Le Cœur d'un homme""？",contributors to the album 'Le Cœur d'un homme' excluding Bono,contributors to the album 'Le Cœur d'un homme' including Bono,1,2
qwen3-embedding-0.6b,excluir_2128,"Who plays the character Victor Kiriakis in the TV show ""Days of Our Lives"" aside from John Aniston?",Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives',Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives' aside from John Aniston,1,2
qwen3-embedding-0.6b,excluir_141,"What is the historical significance of the Olympia Brewery in Tumwater, Washington, without discussing any details related to the Olympia Brewing Company?","historical significance of the Olympia Brewery in Tumwater, Washington",details related to the Olympia Brewing Company,1,2
qwen3-embedding-0.6b,excluir_3431,What were Nordic customs related to religion like before Christianization of Scandinavia?,Nordic customs related to religion before Christianization of Scandinavia,,2,1
qwen3-embedding-0.6b,excluir_3017,"What is Ellie's role in the upcoming video game ""The Last of Us Part II"" without considering any information from the first game, ""The Last of Us""?",Ellie's role in the upcoming video game 'The Last of Us Part II',information about Ellie in 'The Last of Us',2,1
qwen3-embedding-0.6b,excluir_455,"Which television networks aired the Land of the Lost TV series and when did they air, except for the 1991 Land of the Lost TV series?",television networks that aired the Land of the Lost TV series and when they aired,television networks that aired the 1991 Land of the Lost TV series,1,2
qwen3-embedding-0.6b,excluir_2998,"Can you tell me about the connection between John ""Jack"" Bartholomew and Eric Morecambe, without mentioning Jack Bartholomew?",connection between Eric Morecambe and John 'Jack' Bartholomew,connection that mentions Jack Bartholomew,1,2
qwen3-embedding-0.6b,excluir_2889,"Why is Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28 significant, without discussing the composer's personal background or career?","significance of Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28",discussions of Sergei Rachmaninoff's personal background or career,181,1
qwen3-embedding-0.6b,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,4623,1
qwen3-embedding-0.6b,excluir_199,"Can you tell me about Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879, but without mentioning any actions that led to him being awarded the Medal of Honor?",Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879,actions of Wilhelm O. Philipsen that led to him being awarded the Medal of Honor,2,1
qwen3-embedding-0.6b,excluir_2977,"What is the historical connection between creosote production and a location, other than Bainbridge Island, Washington?",historical connection between creosote production and a location,"historical connection between creosote production and Bainbridge Island, Washington",3,1
qwen3-embedding-0.6b,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,57,1
qwen3-embedding-0.6b,excluir_3038,"When did the Faroese National Movement officially begin, excluding any information related to the movement itself?",When did the Faroese National Movement officially begin,information related to the Faroese National Movement,1,2
qwen3-embedding-0.6b,excluir_2098,"Who directed the film ""The Lake House"" and who were the main actors in it, without referencing any details about its South Korean motion picture remake?",Who directed the film 'The Lake House' and who were the main actors in it,details about the South Korean motion picture remake of 'The Lake House',974,1
qwen3-embedding-0.6b,excluir_2501,"What contributions did Bobby Petrino make to the 2003 Louisville Cardinals football team, focusing solely on his role and impact on the team during that season?",contributions of Bobby Petrino to the 2003 Louisville Cardinals football team,Bobby Petrino's contributions to the 2003 Louisville Cardinals football team excluding any other roles or impacts,1,4
qwen3-embedding-0.6b,excluir_1547,"What is the population of Ahafo Ano South District in Ghana, without considering its representation in the Parliament of Ghana?",population of Ahafo Ano South District in Ghana,population of Ahafo Ano South District in Ghana with representation in the Parliament of Ghana,1,2
qwen3-embedding-0.6b,excluir_1878,"What is the significance of the episode“Cartman's Mom Is Still a Dirty Slut"" in the TV series ""South Park"" if we foucs on aspects other than ""Cartman's Mom Is a Dirty Slut"" storyline?",significance of the episode 'Cartman's Mom Is Still a Dirty Slut' in South Park focusing on aspects other than the storyline,'Cartman's Mom Is a Dirty Slut' storyline in South Park,1,2
qwen3-embedding-0.6b,excluir_1460,"In addition to the Franciscan Missions in the Sierra Gorda, where else did Junípero Serra establish missions?",where Junípero Serra established missions,Franciscan Missions in the Sierra Gorda,1,5
