model,id,query,Q_target,Q_trap,final_answer_rank,final_trap_rank
qwen3-embedding-0.6b,excluir_762,"In addition to information about Turnip cake, what are the typical characteristics and traditional uses of Turnip cake in different Asian cuisines？","information about Turnip cake, typical characteristics and traditional uses in different Asian cuisines",,3,1
bge-m3,excluir_0,"Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?",movies adapted from Broadway musical named Annie,1982 American musical movie Annie,1,2
bge-m3,excluir_730,"What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?",Hal Steinbrenner in the New York Yankees,Hank Steinbrenner in the New York Yankees,1,2
bge-m3,excluir_2449,"Which college in Amherst, Massachusetts is renowned as one of the ""Little Three"" in college football, excluding any details about its founding or original status as a men's college?","college in Amherst, Massachusetts renowned as one of the 'Little Three' in college football",details about its founding or original status as a men's college,1,5
bge-m3,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,6090,1
bge-m3,excluir_1696,"Can you tell me the main differences between Dead Space 2 and Dead Space 3, focusing on the gameplay and features rather than the multiplayer mode or special editions?",main differences between Dead Space 2 and Dead Space 3 focusing on gameplay and features,differences related to the multiplayer mode or special editions,1,2
bge-m3,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,89032,1
bge-m3,excluir_1102,"Can you explain the Dirac large numbers hypothesis and who proposed it, without mentioning anything about Paul Dirac?",Dirac large numbers hypothesis and its proposer,Dirac large numbers hypothesis proposed by Paul Dirac,1,5
bge-m3,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,278,1
bge-m3,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,8,1
bge-m3,excluir_865,"When the MexicAn-American professional middle-distance runner Christian Solatos turned professional, which company besides Adidas sponsored him?",company that sponsored Christian Solatos besides Adidas,company that sponsored Christian Solatos that is Adidas,3,2
bge-m3,excluir_2556,"Why is Gracie Mansion significant in New York City, aside from its association with Archibald Gracie?",significance of Gracie Mansion in New York City,significance of Gracie Mansion related to Archibald Gracie,1,2
bge-m3,excluir_1252,"Other than  History of the telescope, who else made early telescopes?",early telescope makers,History of the telescope,1,4
bge-m3,excluir_2250,"Can you provide information on the main types of albatrosses that can be found in the North Pacific region, but cannot refer to any details about the Leison albatross?",main types of albatrosses in the North Pacific region,details about the Leison albatross,1,4
bge-m3,excluir_30,"Besides the founder of the Parker Ranch John Palmer Parker, who else played a significant role in the establishment of Parker Ranch, which is a working cattle ranch on the Island of Hawaii in the U.S. state of Hawaii?",significant figures in the establishment of Parker Ranch,John Palmer Parker and his role in the establishment of Parker Ranch,36,3
bge-m3,excluir_3114,"In addition to Augustus Stinchfield, please tell us about Charles Horace Mayo, another founder of Mayo Clinic","Charles Horace Mayo, founder of Mayo Clinic","Augustus Stinchfield, founder of Mayo Clinic",1,5
bge-m3,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,500,1
bge-m3,excluir_528,"Excluding the teams from the 1992 American League Championship , what other Series were part of the 1992 World Series?",Series that were part of the 1992 World Series,teams from the 1992 American League Championship,1,3
bge-m3,excluir_333,"Who was the lead vocalist and principal songwriter for the new wave rock band The Police during the 1970s and 1980s, aside from Sting?",lead vocalist and principal songwriter for the new wave rock band The Police during the 1970s and 1980s,lead vocalist and principal songwriter for The Police during the 1970s and 1980s aside from Sting,51,3
bge-m3,excluir_218,"What other album did Kiri Te Kanawa release, aside from ""French Songs and Arias""?",albums by Kiri Te Kanawa,album 'French Songs and Arias' by Kiri Te Kanawa,3,2
bge-m3,excluir_835,"How are Anthony Dirrell and Andre Dirrell related in the boxing world, focusing only on information about Andre Dirrell?",information about Andre Dirrell in the boxing world,information about Anthony Dirrell in the boxing world,1,2
bge-m3,excluir_1194,Which universities are included in the University of Missouri System?,universities in the University of Missouri System,,30,1
bge-m3,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,555,1
bge-m3,excluir_3252,Can you tell me what distinguishes Scottish Deerhound from J a mthund?,distinguishes Scottish Deerhound from J a mthund,distinguishes Scottish Deerhound from other breeds,2,1
bge-m3,excluir_2035,"What inspired Vincent van Gogh's later iconic painting ""At Eternity's Gate"", without any reference to Adrianus Jacobus Zuyderland?",inspiration for Vincent van Gogh's later iconic painting 'At Eternity's Gate',inspiration for Vincent van Gogh's later iconic painting 'At Eternity's Gate' referencing Adrianus Jacobus Zuyderland,1,3
bge-m3,excluir_3020,"How did the United States mobilize resources for World War II through military production, without focusing on specific propaganda efforts?",United States mobilization of resources for World War II through military production,United States mobilization of resources for World War II through military production with a focus on specific propaganda efforts,1,5
bge-m3,excluir_1633,"What is T. Boone Pickens' perception of The Science of Success by Charles Koch, without considering the book's content or the philosophy of Market Based Management?",T. Boone Pickens' perception of The Science of Success by Charles Koch,T. Boone Pickens' perception of The Science of Success by Charles Koch considering the book's content or the philosophy of Market Based Management,2,1
bge-m3,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',87535,1
bge-m3,excluir_1596,"Could you discuss the connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina, while avoiding mentioning specific criminal behaviors of Henry Louis Wallace?","connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina",specific criminal behaviors of Henry Louis Wallace,1,2
bge-m3,excluir_2030,"How are Hugh Pelham and Tim Hunt connected in terms of their contributions to physiology and medicine, without focusing on Tim Hunt's Nobel Prize or specific discoveries?",Hugh Pelham and Tim Hunt contributions to physiology and medicine,Tim Hunt's Nobel Prize or specific discoveries,1,2
bge-m3,excluir_993,"What is the significance of the song ""Get Her Back"" by Robin Thicke, in terms of its musical, lyrical, and cultural impact, without focusing on any personal or relationship-related details?","significance of the song 'Get Her Back' by Robin Thicke in terms of its musical, lyrical, and cultural impact",personal or relationship-related details about 'Get Her Back' by Robin Thicke,1,3
bge-m3,excluir_2929,"What significance does the Danish Act of Succession, adopted in 1953, hold and  don't mention it specifically impact the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin?",significance of the Danish Act of Succession and its impact on the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin,impact of the Danish Act of Succession on the succession to the throne,2,1
bge-m3,excluir_3250,How does Roosevelt Corollary's Doctrine differ from the Drago Doctrine in resolving conflicts between the United States and other nations?,Roosevelt Corollary's Doctrine and Drago Doctrine in resolving conflicts between the United States and other nations,,2,1
bge-m3,excluir_1307,What crime is Jeff Weise guilty of killing his grandfather (a tribal police officer) and his grandfather's girlfriend in Red Lake shootings?,crime Jeff Weise guilty of in Red Lake shootings,crime related to killing his grandfather and his grandfather's girlfriend,1,2
bge-m3,excluir_2128,"Who plays the character Victor Kiriakis in the TV show ""Days of Our Lives"" aside from John Aniston?",Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives',Who plays the character Victor Kiriakis in the TV show 'Days of Our Lives' aside from John Aniston,1,2
bge-m3,excluir_141,"What is the historical significance of the Olympia Brewery in Tumwater, Washington, without discussing any details related to the Olympia Brewing Company?","historical significance of the Olympia Brewery in Tumwater, Washington",details related to the Olympia Brewing Company,1,2
bge-m3,excluir_2020,"Which legal case dealt with a disagreement regarding the importation of Toblerone chocolate bars into Canada, without including any details about the ownership or production of Toblerone?",legal case regarding the importation of Toblerone chocolate bars into Canada,details about the ownership or production of Toblerone,1,2
bge-m3,excluir_1190,Which actor performed the comedy version of Bohemian Rhapsody?,actor performed the comedy version of Bohemian Rhapsody,,1,4
bge-m3,excluir_3431,What were Nordic customs related to religion like before Christianization of Scandinavia?,Nordic customs related to religion before Christianization of Scandinavia,,1,2
bge-m3,excluir_975,"Can you explain the significance of Ricardo Darín's role in the film Moon of Avellaneda, without mentioning his career or reputation as an actor in other works?",significance of Ricardo Darín's role in the film Moon of Avellaneda,Ricardo Darín's career or reputation as an actor in other works,1,2
bge-m3,excluir_3017,"What is Ellie's role in the upcoming video game ""The Last of Us Part II"" without considering any information from the first game, ""The Last of Us""?",Ellie's role in the upcoming video game 'The Last of Us Part II',information about Ellie in 'The Last of Us',2,1
bge-m3,excluir_455,"Which television networks aired the Land of the Lost TV series and when did they air, except for the 1991 Land of the Lost TV series?",television networks that aired the Land of the Lost TV series and when they aired,television networks that aired the 1991 Land of the Lost TV series,1,2
bge-m3,excluir_2998,"Can you tell me about the connection between John ""Jack"" Bartholomew and Eric Morecambe, without mentioning Jack Bartholomew?",connection between Eric Morecambe and John 'Jack' Bartholomew,connection that mentions Jack Bartholomew,1,4
bge-m3,excluir_2889,"Why is Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28 significant, without discussing the composer's personal background or career?","significance of Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28",discussions of Sergei Rachmaninoff's personal background or career,47,1
bge-m3,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,7986,1
bge-m3,excluir_199,"Can you tell me about Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879, but without mentioning any actions that led to him being awarded the Medal of Honor?",Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879,actions of Wilhelm O. Philipsen that led to him being awarded the Medal of Honor,4,1
bge-m3,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,53,1
bge-m3,excluir_3038,"When did the Faroese National Movement officially begin, excluding any information related to the movement itself?",When did the Faroese National Movement officially begin,information related to the Faroese National Movement,1,2
bge-m3,excluir_2098,"Who directed the film ""The Lake House"" and who were the main actors in it, without referencing any details about its South Korean motion picture remake?",Who directed the film 'The Lake House' and who were the main actors in it,details about the South Korean motion picture remake of 'The Lake House',203,1
bge-m3,excluir_2501,"What contributions did Bobby Petrino make to the 2003 Louisville Cardinals football team, focusing solely on his role and impact on the team during that season?",contributions of Bobby Petrino to the 2003 Louisville Cardinals football team,Bobby Petrino's contributions to the 2003 Louisville Cardinals football team excluding any other roles or impacts,1,2
bge-m3,excluir_1547,"What is the population of Ahafo Ano South District in Ghana, without considering its representation in the Parliament of Ghana?",population of Ahafo Ano South District in Ghana,population of Ahafo Ano South District in Ghana with representation in the Parliament of Ghana,1,2
text-embedding-3-small,excluir_0,"Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?",movies adapted from Broadway musical named Annie,1982 American musical movie Annie,3,2
text-embedding-3-small,excluir_730,"What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?",Hal Steinbrenner in the New York Yankees,Hank Steinbrenner in the New York Yankees,1,3
text-embedding-3-small,excluir_2449,"Which college in Amherst, Massachusetts is renowned as one of the ""Little Three"" in college football, excluding any details about its founding or original status as a men's college?","college in Amherst, Massachusetts renowned as one of the 'Little Three' in college football",details about its founding or original status as a men's college,1,4
text-embedding-3-small,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,8624,1
text-embedding-3-small,excluir_1696,"Can you tell me the main differences between Dead Space 2 and Dead Space 3, focusing on the gameplay and features rather than the multiplayer mode or special editions?",main differences between Dead Space 2 and Dead Space 3 focusing on gameplay and features,differences related to the multiplayer mode or special editions,1,2
text-embedding-3-small,excluir_361,"What are the main factors that pose a threat to the survival of the Wanhsien tiger, besides the South China tiger?",main factors that pose a threat to the survival of the Wanhsien tiger,threats to the survival of the South China tiger,1,3
text-embedding-3-small,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,78435,1
text-embedding-3-small,excluir_2064,"Who held the position of Dean of Lincoln in 1748, without including any details about Christine Wilson's term as Dean?",Who held the position of Dean of Lincoln in 1748,details about Christine Wilson's term as Dean,3,5
text-embedding-3-small,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,4913,2
text-embedding-3-small,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,8,1
text-embedding-3-small,excluir_1252,"Other than  History of the telescope, who else made early telescopes?",early telescope makers,History of the telescope,9,2
text-embedding-3-small,excluir_2250,"Can you provide information on the main types of albatrosses that can be found in the North Pacific region, but cannot refer to any details about the Leison albatross?",main types of albatrosses in the North Pacific region,details about the Leison albatross,1,2
text-embedding-3-small,excluir_2557,What's so special about the 2018 Pro14 Finals that don't mention anything related to 2017-18 Pro 14?,2018 Pro14 Finals,2017-18 Pro 14,1,4
text-embedding-3-small,excluir_2673,"What other institution offices besides the Alaska State Capitol are located in Juneau, Alaska?","institution offices located in Juneau, Alaska",institution offices located in Alaska State Capitol,1,3
text-embedding-3-small,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,57785,1
text-embedding-3-small,excluir_218,"What other album did Kiri Te Kanawa release, aside from ""French Songs and Arias""?",albums by Kiri Te Kanawa,album 'French Songs and Arias' by Kiri Te Kanawa,2,4
text-embedding-3-small,excluir_835,"How are Anthony Dirrell and Andre Dirrell related in the boxing world, focusing only on information about Andre Dirrell?",information about Andre Dirrell in the boxing world,information about Anthony Dirrell in the boxing world,1,2
text-embedding-3-small,excluir_1194,Which universities are included in the University of Missouri System?,universities in the University of Missouri System,,35,1
text-embedding-3-small,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,174,1
text-embedding-3-small,excluir_3405,"In addition to the suspense novels represented by Night Chills, what other elements have been incorporated into the work of American author Night Chills?",elements incorporated into the work of American author Night Chills,suspense novels represented by Night Chills,354,1
text-embedding-3-small,excluir_3252,Can you tell me what distinguishes Scottish Deerhound from J a mthund?,distinguishes Scottish Deerhound from J a mthund,distinguishes Scottish Deerhound from other breeds,2,1
text-embedding-3-small,excluir_1633,"What is T. Boone Pickens' perception of The Science of Success by Charles Koch, without considering the book's content or the philosophy of Market Based Management?",T. Boone Pickens' perception of The Science of Success by Charles Koch,T. Boone Pickens' perception of The Science of Success by Charles Koch considering the book's content or the philosophy of Market Based Management,2,1
text-embedding-3-small,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',90288,1
text-embedding-3-small,excluir_1596,"Could you discuss the connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina, while avoiding mentioning specific criminal behaviors of Henry Louis Wallace?","connection between the mothers of the victims and the Henry Louis Wallace case in Charlotte, North Carolina",specific criminal behaviors of Henry Louis Wallace,1,2
text-embedding-3-small,excluir_993,"What is the significance of the song ""Get Her Back"" by Robin Thicke, in terms of its musical, lyrical, and cultural impact, without focusing on any personal or relationship-related details?","significance of the song 'Get Her Back' by Robin Thicke in terms of its musical, lyrical, and cultural impact",personal or relationship-related details about 'Get Her Back' by Robin Thicke,1,3
text-embedding-3-small,excluir_2929,"What significance does the Danish Act of Succession, adopted in 1953, hold and  don't mention it specifically impact the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin?",significance of the Danish Act of Succession and its impact on the succession to the throne in relation to Alexandrine of Mecklenburg-Schwerin,impact of the Danish Act of Succession on the succession to the throne,3,1
text-embedding-3-small,excluir_3250,How does Roosevelt Corollary's Doctrine differ from the Drago Doctrine in resolving conflicts between the United States and other nations?,Roosevelt Corollary's Doctrine and Drago Doctrine in resolving conflicts between the United States and other nations,,2,1
text-embedding-3-small,excluir_1307,What crime is Jeff Weise guilty of killing his grandfather (a tribal police officer) and his grandfather's girlfriend in Red Lake shootings?,crime Jeff Weise guilty of in Red Lake shootings,crime related to killing his grandfather and his grandfather's girlfriend,1,2
text-embedding-3-small,excluir_155,"Aside from Paul David Hewson, OL (born 10 May 1960), known by his stage name Bono, who else contributed to the album ""Le Cœur d'un homme""？",contributors to the album 'Le Cœur d'un homme' excluding Bono,contributors to the album 'Le Cœur d'un homme' including Bono,1,2
text-embedding-3-small,excluir_215,"Before ""The Great Beyond"" was released, can you tell me about the notable chart positions and releases of the single ""E-Bow the Letter"" by R.E.M?",notable chart positions and releases of the single 'E-Bow the Letter' by R.E.M,,1,4
text-embedding-3-small,excluir_141,"What is the historical significance of the Olympia Brewery in Tumwater, Washington, without discussing any details related to the Olympia Brewing Company?","historical significance of the Olympia Brewery in Tumwater, Washington",details related to the Olympia Brewing Company,1,2
text-embedding-3-small,excluir_1691,"To what extent did Joseph Sheridan Le Fanu impact the development of the Gothic fiction genre in the Victorian era, aside from his specific work ""Carmilla""?",impact of Joseph Sheridan Le Fanu on the development of Gothic fiction in the Victorian era,impact of Joseph Sheridan Le Fanu on Gothic fiction related to his work 'Carmilla',1,4
text-embedding-3-small,excluir_1190,Which actor performed the comedy version of Bohemian Rhapsody?,actor performed the comedy version of Bohemian Rhapsody,,2,1
text-embedding-3-small,excluir_2768,"Can you give me some details of the ""Thunder Rising"" by Erin Hunter, but leaving out the information from the first novel ""The Sun Trail""?",details of 'Thunder Rising' by Erin Hunter,information from 'The Sun Trail',1,5
text-embedding-3-small,excluir_2980,"Can you please tell me the title and release date of the movie that featured Robert Downey, Jr. and Zach Galifianakis, without using ""Due Date""?","movie featuring Robert Downey, Jr. and Zach Galifianakis title and release date","movie featuring Robert Downey, Jr. and Zach Galifianakis titled 'Due Date'",3,1
text-embedding-3-small,excluir_3431,What were Nordic customs related to religion like before Christianization of Scandinavia?,Nordic customs related to religion before Christianization of Scandinavia,,1,2
text-embedding-3-small,excluir_3017,"What is Ellie's role in the upcoming video game ""The Last of Us Part II"" without considering any information from the first game, ""The Last of Us""?",Ellie's role in the upcoming video game 'The Last of Us Part II',information about Ellie in 'The Last of Us',2,1
text-embedding-3-small,excluir_455,"Which television networks aired the Land of the Lost TV series and when did they air, except for the 1991 Land of the Lost TV series?",television networks that aired the Land of the Lost TV series and when they aired,television networks that aired the 1991 Land of the Lost TV series,1,2
text-embedding-3-small,excluir_2998,"Can you tell me about the connection between John ""Jack"" Bartholomew and Eric Morecambe, without mentioning Jack Bartholomew?",connection between Eric Morecambe and John 'Jack' Bartholomew,connection that mentions Jack Bartholomew,1,3
text-embedding-3-small,excluir_2889,"Why is Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28 significant, without discussing the composer's personal background or career?","significance of Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28",discussions of Sergei Rachmaninoff's personal background or career,75,1
text-embedding-3-small,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,1218,1
text-embedding-3-small,excluir_199,"Can you tell me about Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879, but without mentioning any actions that led to him being awarded the Medal of Honor?",Wilhelm O. Philipsen's role in the 5th Cavalry Regiment during the Battle of Milk Creek in 1879,actions of Wilhelm O. Philipsen that led to him being awarded the Medal of Honor,2,1
text-embedding-3-small,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,553,1
text-embedding-3-small,excluir_3038,"When did the Faroese National Movement officially begin, excluding any information related to the movement itself?",When did the Faroese National Movement officially begin,information related to the Faroese National Movement,1,2
text-embedding-3-small,excluir_2098,"Who directed the film ""The Lake House"" and who were the main actors in it, without referencing any details about its South Korean motion picture remake?",Who directed the film 'The Lake House' and who were the main actors in it,details about the South Korean motion picture remake of 'The Lake House',677,1
text-embedding-3-small,excluir_2501,"What contributions did Bobby Petrino make to the 2003 Louisville Cardinals football team, focusing solely on his role and impact on the team during that season?",contributions of Bobby Petrino to the 2003 Louisville Cardinals football team,Bobby Petrino's contributions to the 2003 Louisville Cardinals football team excluding any other roles or impacts,1,4
text-embedding-3-small,excluir_1878,"What is the significance of the episode“Cartman's Mom Is Still a Dirty Slut"" in the TV series ""South Park"" if we foucs on aspects other than ""Cartman's Mom Is a Dirty Slut"" storyline?",significance of the episode 'Cartman's Mom Is Still a Dirty Slut' in South Park focusing on aspects other than the storyline,'Cartman's Mom Is a Dirty Slut' storyline in South Park,2,1
text-embedding-3-small,excluir_762,"In addition to information about Turnip cake, what are the typical characteristics and traditional uses of Turnip cake in different Asian cuisines？","information about Turnip cake, typical characteristics and traditional uses in different Asian cuisines",,17,1
text-embedding-3-small,excluir_1948,"In Rocky V, can you introduce other information related to Sage Stallone?",information related to Sage Stallone in Rocky V,,2,1
text-embedding-3-small,excluir_1541,"Apart from the 1980 film ""Fame,"" can you tell me which other years saw the release of films with the same title?",films titled 'Fame' released in years other than 1980,films titled 'Fame' released in 1980,2,1
